,enzyme,R
265,2.4.1.265,R06263
266,2.4.1.256,R06264
267,4.1.2.13,R01070
268,4.1.2.13,R01829
269,4.1.2.13,R02568
270,2.3.3.10,R01978
271,2.4.1.198,R02654
272,2.4.1.198,R05916
273,1.16.1.8,R05182
274,3.6.5.5,R00335
275,2.4.1.79,R05631
276,2.4.1.79,R05962
277,2.4.1.79,R11321
278,2.4.1.79,R11378
279,2.4.1.79,R11379
280,1.3.5.1,R02164
281,2.7.7.7,R00375
282,2.7.7.7,R00376
283,2.7.7.7,R00377
284,2.7.7.7,R00378
285,2.7.7.7,R11029
286,3.5.4.4,R01560
287,3.5.4.4,R02556
288,2.3.1.199,R10825
289,2.3.1.199,R07758
290,2.3.1.199,R07762
291,2.3.1.199,R09419
292,2.8.3.5,R00410
293,6.3.2.25,R04730
294,5.3.3.5,R03353
295,5.3.3.5,R04671
296,5.3.3.5,R04804
297,5.3.3.5,R07484
298,2.3.1.48,R03552
299,2.7.12.1,R02584
300,2.7.11.17,R02884
301,3.4.24.84,R09845
302,2.4.1.141,R04494
303,2.4.1.141,R05970
304,2.7.4.3,R00127
305,2.7.4.3,R01547
306,2.7.4.3,R11319
307,1.1.1.27,R00703
308,1.1.1.27,R01000
309,1.1.1.27,R03104
310,3.1.3.5,R00183
311,3.1.3.5,R00511
312,3.1.3.5,R00963
313,3.1.3.5,R01126
314,3.1.3.5,R01227
315,3.1.3.5,R02323
316,3.1.3.5,R02719
317,3.1.3.5,R03346
318,3.1.3.5,R01569
319,3.1.3.5,R01664
320,3.1.3.5,R01968
321,3.1.3.5,R02088
322,3.1.3.5,R02102
323,1.14.19.17,R06519
324,1.14.18.5,R06526
325,1.14.18.5,R06525
326,2.7.1.138,R01495
327,2.7.1.91,R01926
328,2.7.1.91,R02976
329,2.7.8.27,R08969
330,6.4.1.4,R04138
331,6.2.1.4,R00432
332,6.2.1.4,R00727
333,6.2.1.4,R02405
334,6.2.1.4,R02406
335,6.2.1.5,R00405
336,6.2.1.5,R02404
337,5.1.99.1,R02765
338,5.1.99.1,R09979
339,1.3.3.4,R03222
340,1.3.3.15,R04178
341,2.5.1.46,R05329
342,2.5.1.46,R07477
343,2.5.1.46,R07478
344,2.5.1.46,R07479
345,2.5.1.46,R07480
346,3.1.3.86,R09827
347,1.3.3.6,R07934
348,1.3.3.6,R07950
349,1.3.3.6,R01175
350,1.3.3.6,R01279
351,1.3.3.6,R03777
352,1.3.3.6,R03857
353,1.3.3.6,R03990
354,1.3.3.6,R04751
355,1.3.3.6,R04754
356,1.3.3.6,R07888
357,1.3.3.6,R07892
358,1.3.3.6,R07896
359,1.3.3.6,R12356
360,2.7.4.6,R00124
361,2.7.4.6,R00139
362,2.7.4.6,R00156
363,2.7.4.6,R00330
364,2.7.4.6,R00570
365,2.7.4.6,R00722
366,2.7.4.6,R01137
367,2.7.4.6,R01857
368,2.7.4.6,R02093
369,2.7.4.6,R02326
370,2.7.4.6,R02331
371,2.7.4.6,R03530
372,2.7.4.6,R11894
373,2.7.4.6,R11895
374,2.7.11.26,R03744
375,2.7.1.33,R03018
376,2.7.1.33,R02971
377,2.7.1.33,R04391
378,3.1.2.2,R01274
379,3.1.2.2,R08174
380,3.1.2.2,R08175
381,3.1.2.2,R08176
382,3.1.2.2,R08177
383,3.1.2.2,R08178
384,3.1.2.2,R08179
385,3.1.2.2,R08180
386,3.1.2.2,R08181
387,3.1.2.2,R08182
388,3.1.2.2,R08183
389,3.1.2.2,R09450
390,1.2.1.36,R02123
391,1.2.1.36,R08385
392,1.11.1.9,R00274
393,1.11.1.9,R07034
394,1.11.1.9,R07035
395,1.14.16.4,R07213
396,1.14.16.4,R01814
397,1.14.15.18,R03610
398,1.14.15.18,R11324
399,3.6.1.43,R01004
400,2.4.1.226,R05931
401,2.4.1.226,R05933
402,2.4.1.226,R07336
403,2.5.1.18,R07093
404,2.5.1.18,R07094
405,2.5.1.18,R07100
406,2.5.1.18,R07113
407,2.5.1.18,R07116
408,2.5.1.18,R08511
409,2.5.1.18,R08512
410,2.5.1.18,R07002
411,2.5.1.18,R07003
412,2.5.1.18,R07004
413,2.5.1.18,R07023
414,2.5.1.18,R07024
415,2.5.1.18,R07025
416,2.5.1.18,R07026
417,2.5.1.18,R07069
418,2.5.1.18,R07070
419,2.5.1.18,R07083
420,2.5.1.18,R07084
421,2.5.1.18,R07091
422,2.5.1.18,R07092
423,2.5.1.18,R08280
424,2.5.1.18,R09409
425,2.5.1.18,R11905
426,4.2.1.49,R02914
427,2.1.1.33,R00600
428,5.3.2.1,R01378
429,5.3.2.1,R03342
430,2.4.1.313,R10620
431,2.4.1.313,R12292
432,2.4.1.313,R07614
433,2.4.1.244,R07610
434,2.4.1.244,R07611
435,2.4.1.255,R09304
436,2.4.1.255,R09676
437,2.4.1.255,R09677
438,4.2.1.134,R10827
439,4.2.1.134,R07760
440,2.7.4.24,R05799
441,2.7.4.24,R08964
442,6.1.1.21,R03655
443,1.1.5.3,R08657
444,1.1.5.3,R00848
445,6.1.1.14,R03654
446,4.2.1.2,R01082
447,6.1.1.16,R03650
448,2.4.1.212,R05327
449,2.4.1.212,R06068
450,1.8.1.7,R00115
451,1.8.1.7,R00094
452,1.7.1.7,R01134
453,4.2.3.12,R04286
454,4.1.2.50,R09959
455,3.5.99.6,R00765
456,3.1.1.77,R05792
457,2.5.1.1,R01658
